index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	तीक्ष्ण-		तीक्ष्ण-अंशुः	तीक्ष्ण	तीक्ष्ण	बहुव्रीहिः,1.2	बहुव्रीहिः,1.2	CP	तीक्ष्ण-	तीक्ष्ण-
1.2	अंशुः		--	अंशु{पुं;1;एक}	अंशु{पुं;1;एक}	कर्ता,4.1	विशेषणम्,9.1#विशेषणम्,2.3#कर्ता,4.1#कर्म,8.1	N1		
2.1	अति-		अति-तीक्ष्ण-अंशुः	अति	अति	अव्ययीभावः,2.2	अव्ययीभावः,2.2	CP	अति-	अति-
2.2	तीक्ष्ण-		--	तीक्ष्ण	तीक्ष्ण	बहुव्रीहिः,2.3	बहुव्रीहिः,2.3	CP	तीक्ष्ण-	तीक्ष्ण-
2.3	अंशुः		--	अंशु{पुं;1;एक}	अंशु{पुं;1;एक}	उपमानम्,1.2	विशेषणम्,9.1#उपमानम्,1.2#कर्ता,4.1#कर्म,8.1	N1		
3.1	ग्रीष्मे		ग्रीष्मे	ग्रीष्मा{स्त्री;1;द्वि}/ग्रीष्मा{स्त्री;2;द्वि}/ग्रीष्म{पुं;7;एक}	ग्रीष्म{पुं;7;एक}	अधिकरणम्,4.1	अधिकरणम्,16.1#अधिकरणम्,12.1#अधिकरणम्,10.1#अधिकरणम्,8.1#अधिकरणम्,4.1#भ्कर्ता,4.1#कर्म,10.1#कर्म,4.1#उपमानम्,2.3#उपमानम्,1.2	N7	गरमें	गरमें
4.1	संक्षिपति		संक्षिपति	सम्_क्षिप्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;तुदादिः}/सङ्क्षिपत्{पुं;7;एक(सम्_क्षिप्2;शतृ_लट्;तुदादिः)}/सङ्क्षिपत्{नपुं;7;एक(सम्_क्षिप्2;शतृ_लट्;तुदादिः)}	सम्_क्षिप्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;तुदादिः}	उपमानम्,8.1	भावलक्षणसप्तमी_समानकालः,16.1#भावलक्षणसप्तमी_समानकालः,12.1#भावलक्षणसप्तमी_समानकालः,10.1#भावलक्षणसप्तमी_समानकालः,8.1#उपमानम्,8.1	KP	संक्षेप_करता_है	संक्षेप_करता_है
5.1	इव		इव	इव{अव्य}	इव{अव्य}	उत्प्रेक्षा_द्योतकः,4.1	उत्प्रेक्षा_द्योतकः,4.1#उपमानम्_रहित_उपमान_द्योतकः,6.1#उपमान_द्योतकः,4.1	NA	जैसे	जैसे
6.1	यत्		यत्	यत्{अव्य}/यद्{सर्वनाम;नपुं;1;एक}/यद्{सर्वनाम;नपुं;2;एक}	यद्{सर्वनाम;नपुं;1;एक}	कर्म,4.1;नित्य_सम्बन्धः1,10.1	कर्म,4.1;नित्य_सम्बन्धः1,10.1	N1	जिसको	जिसको
7.1	प्रत्यहम्		प्रत्यहम्	प्रत्यहम्{अव्य}	प्रत्यहम्{अव्य}	कालाधिकरणम्,8.1	कालाधिकरणम्,8.1	NA		
