index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	भक्त्या	1	भक्त्या	भक्ति{स्त्री}{3;एक}	भक्ति{स्त्री}{3;एक}	करणम्,3.1	करणम्,3.1	N3	पराभक्ति_के_द्वारा	by_pure_devotional_service	-	-
2.1	माम्	3	मामभिजानाति	अस्मद्{2;एक}	अस्मद्{2;एक}	कर्म,3.1	कर्म,3.1	N2	मुझको_(परमात्मा_को)	me	-	-
3.1	अभिजानाति	11	0	अभि_ज्ञा2{कर्तरि;लट्;प्र;एक;परस्मैपदी;ज्ञा;क्र्यादिः}	अभि_ज्ञा2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अभि_ज्ञा;क्र्यादिः}	-	-	KP	जान_लेता_है	can_know	-	-
4.1	यावान्	5	यावान्यश्चास्मि	याव{पुं}{2;बहु}/यावत्{पुं}{1;एक}/यावत्{पुं}{1;एक}	यावत्{पुं}{1;एक}	समुच्चितः,5.1	समुच्चितः,5.1	N1	जितना	as_much_as	-	-
5.1	यः	6	0	यद्{पुं}{1;एक}	यद्{पुं}{1;एक}	कर्तृसमानाधिकरणम्,7.1	कर्तृसमानाधिकरणम्,7.1	N1	जो	as	-	-
6.1	च	7	0	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,5.1	समुच्चय_द्योतकः,5.1	NA	और	and	-	-
7.1	अस्मि	8	0	अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	वाक्यकर्म,3.1	वाक्यकर्म,3.1	KP	हूँ	am	-	-
8.1	तत्त्वतः	10	तत्त्वतः	तत्त्वतः{अव्य}	तत्त्वतः{अव्य}	क्रियाविशेषणम्,3.1	क्रियाविशेषणम्,3.1	NA	तत्त्व_से	in_truth	-	-
8.1.1	(अहम्)	4	(0)	(अस्मद्{1;एक})	(अस्मद्{1;एक})	कर्ता,7.1	कर्ता,7.1	N1	(मैं)	I	-	-
9.1	ततः	12	ततो	ततः{अव्य}	ततः{अव्य}	हेतुः,12.1	हेतुः,12.1	NA	उस	thereafter	-	-
10.1	माम्	13	मां	अस्मद्{2;एक}	अस्मद्{2;एक}	कर्म,12.1	कर्म,12.1	N2	मुझको	me	-	-
11.1	तत्त्वतः	14	तत्त्वतो	तत्त्वतः{अव्य}	तत्त्वतः{अव्य}	क्रियाविशेषणम्,12.1	क्रियाविशेषणम्,12.1	NA	तत्त्व_से	by_truth	-	-
12.1	ज्ञात्वा	15	ज्ञात्वा	ज्ञा1{कृत्_प्रत्ययः:क्त्वा;ज्ञा;भ्वादिः}/ज्ञा2{कृत्_प्रत्ययः:क्त्वा;ज्ञा;क्र्यादिः}	ज्ञा2{कृत्_प्रत्ययः:क्त्वा;ज्ञा;क्र्यादिः}	पूर्वकालः,13.1	पूर्वकालः,13.1	NA	जानकर	knowing	-	-
13.1	विशते	17	विशते	विशत्{पुं}{4;एक}/विशत्{नपुं}{4;एक}/विशता{स्त्री}{1;द्वि}/विशता{स्त्री}{2;द्वि}	विश्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;विशँ;तुदादिः}	-	-	KP	मुझमें_प्रविष्ट_हो_जाता_है	enters	-	-
14.1	तद्-	16	तदनन्तरम्	तद्-	तद्-	पञ्चमी-तत्पुरुषः,14.2	पञ्चमी-तत्पुरुषः,14.2	CP	तत्काल_ही	thereafter	-	-
14.2	अनन्तरम्		-	तदनन्तरम्{अव्य}/तदनन्तर{पुं}{2;एक}/तदनन्तर{नपुं}{1;एक}/तदनन्तर{नपुं}{2;एक}	तदनन्तरम्{अव्य}	कालाधिकरणम्,13.1	कालाधिकरणम्,13.1	NA				
