index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	एतत्-	5	एतद्योनीनि	एतद्	एतद्	बहुव्रीहिः,1.2	बहुव्रीहिः,1.2	CP	इन_दोनों_प्रकृतियों_से_ही_उत्पन्न_होनेवाले	originated_from_these_two_natures	<एतत्-योनीनि>Bs6	-
1.2	योनीनि	-	-	योनिन्{नपुं;1;बहु}/योनिन्{नपुं;2;बहु}/योनिन्{नपुं;8;बहु}	योनिन्{नपुं;1;बहु}	विधेय_विशेषणम्,2.1	विधेय_विशेषणम्,2.1	N1				-
2.1	भूतानि	4	भूतानि	भूत{नपुं;1;बहु}/भूत{नपुं;2;बहु}/भूत{नपुं;8;बहु}	भूत{नपुं;1;बहु}	कर्ता,2.1.1	कर्ता,2.1.1	N1	भूत	everything_created	-	-
2.1.1	(सन्ति)	6	(0)	सत्{नपुं;1;बहु}/सत्{नपुं;2;बहु}/सत्{नपुं;8;बहु}/सन्ती{स्त्री;8;एक}/अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः}	अभिहित_कर्ता,2.1	अभिहित_कर्ता,2.1	KP	(हैं)	are	-
3.1	सर्वाणि	3	सर्वाणीत्युपधारय	सर्व{नपुं;1;बहु}/सर्व{नपुं;2;बहु}/सर्वाणी{स्त्री;8;एक}/सर्व्1{कर्तरि;लोट्;उ;एक;परस्मैपदी;षर्वँ;भ्वादिः}	सर्व{नपुं;1;बहु}	विशेषणम्,2.1	विशेषणम्,2.1	N1	सम्पूर्ण	all	-	-
4.1	इति	1	0	इति{अव्य}	इति{अव्य}	वाक्यकर्म_द्योतकः,12.1	वाक्यकर्म_द्योतकः,12.1	NA	ऐसा	thus	-	-
5.1.1	(त्वम्)			युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,5.1	कर्ता,5.1	N1	तुम	तुम
5.1	उपधारय	2	0	उप_धृ1_णिच्{कर्तरि;लोट्;म;एक;परस्मैपदी;धृञ्_णिच्;भ्वादिः}	उप_धृ1_णिच्{कर्तरि;लोट्;म;एक;परस्मैपदी;धृञ्_णिच्;भ्वादिः}	अभिहित_कर्ता,5.1.1	अभिहित_कर्ता,5.1.1	KP	समझ	know	-	-
6.1	अहम्	7	अहं	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,12.1	कर्ता,12.1	N1	मैं	I	-	-
7.1	कृत्स्नस्य	8	कृत्स्नस्य	कृत्स्न{नपुं;6;एक}	कृत्स्न{नपुं;6;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N6	सम्पूर्ण	all-inclusive	-	-
8.1	जगतः	9	जगतः	जगत्{पुं;1;बहु}/जगत्{पुं;2;बहु}/जगत्{पुं;5;एक}/जगत्{पुं;6;एक}/जगत्{पुं;8;बहु}/जगत्{नपुं;5;एक}/जगत्{नपुं;6;एक}	जगत्{नपुं;6;एक}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	N6	जगत्_का	of_the_world	-	-
9.1	प्रभवः	10	प्रभवः	प्रभु{पुं;1;बहु}/प्रभव{पुं;1;एक}	प्रभव{पुं;1;एक}	विधेय_विशेषणम्,6.1	विधेय_विशेषणम्,6.1	N1	प्रभव	source_of_manifestation	-	-
10.1	प्रलयः	12	प्रलयस्तथा	प्रलय{पुं;1;एक}	प्रलय{पुं;1;एक}	समुच्चितः,9.1	समुच्चितः,9.1	N1	प्रलय	annihilation	-	-
11.1	तथा	11	0	तथा{अव्य}	तथा{अव्य}	समुच्चय_द्योतकः,9.1	समुच्चय_द्योतकः,9.1	NA	तथा	as_well_as	-	-
12.1	(अस्मि)	13	(0)	अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	वाक्यकर्म,5.1	वाक्यकर्म,5.1	KP	(हूँ)	is	-	-
