index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	यदा		यदा	यदा{अव्य}	यदा{अव्य}	कालाधिकरणम्,4.1;नित्य_सम्बन्धः,5.1	नित्य_सम्बन्धः,5.1#कालाधिकरणम्,4.1	NA	जब	जब
2.1	सः		सः	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	कर्ता,4.1	कर्ता,4.1	N1	वह	वह
3.1	ग्रामं		ग्रामं	ग्राम{पुं;2;एक}	ग्राम{पुं;2;एक}	कर्म,4.1	कर्म,4.1	N2	गाँव	गाँव
4.1	गच्छति		गच्छति	गम्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}	गम्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,2.1;सकर्मक	-	KP	जाता_है	जाता_है
5.1	तदा		तदा	तदा{अव्य}	तदा{अव्य}	कालाधिकरणम्,9.1	कालाधिकरणम्,9.1#कालाधिकरणम्,4.1	NA	तब	तब
6.1	तस्य		तस्य	तद्{सर्वनाम;नपुं;6;एक}/तद्{सर्वनाम;पुं;6;एक}	तद्{सर्वनाम;नपुं;6;एक}	षष्ठीसम्बन्धः,7.1	षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,7.1	N6	उसके	उसके
7.1	बन्धवः		बन्धवः	बन्धु{पुं;1;बहु}/बन्धु{पुं;8;बहु}	बन्धु{पुं;1;बहु}	कर्ता,9.1	कर्ता,9.1	N1	बन्धु	बन्धु
8.1	सन्तुष्टाः		सन्तुष्टाः	सन्तुष्ट{पुं;1;बहु}/सन्तुष्टा{स्त्री;1;बहु}/सन्तुष्टा{स्त्री;2;बहु}	सन्तुष्ट{पुं;1;बहु}	विधेय_विशेषणम्,7.1	कर्ता,9.1;विधेय_विशेषणम्,7.1	N1	सन्तुष्ट	सन्तुष्ट
9.1	भवन्ति		भवन्ति	भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः}/भवन्ती{स्त्री;8;एक}/भवत्{नपुं;1;बहु}/भवत्{नपुं;2;बहु}	भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,8.1;सकर्मक	-	KP	होते_हैं	होते_हैं
10.1	.		.	-	-	-	-	FS	-	-
										
