index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	दुष्टः		दुष्टः	दुष्ट{पुं;1;एक(दुष्1;क्त;दिवादिः)}	दुष्ट{पुं;1;एक(दुष्1;क्त;दिवादिः)}	कर्ता,10.1	विशेषणम्,8.1#विशेषणम्,7.1#विशेषणम्,6.1	N1	दुःखित_होना_या_किया_हुआ	दुःखित_होना_या_किया_हुआ
2.1	अपराधम्		अपराधं	अपराध{पुं;2;एक}	अपराध{पुं;2;एक}	कर्म,4.1	कर्म,4.1	N2	अपराध	अपराध
3.1	स्वयम्		स्वयं	स्वयम्{अव्य}	स्वयम्{अव्य}	क्रियाविशेषणम्,4.1	क्रियाविशेषणम्,4.1	NA	खुद	खुद
4.1	कृत्वा		कृत्वा	कृ2{अव्य;क्त्वा;स्वादिः}/कृ3{अव्य;क्त्वा;तनादिः}	कृ2{अव्य;क्त्वा;स्वादिः}	पूर्वकालः,10.1	पूर्वकालः,10.1#पूर्वकालः,8.1	NA	मार_डाल_कर	मार_डाल_कर
5.1	अन्येन		अन्येन	अन्य{सर्वनाम;पुं;3;एक}/अन्य{सर्वनाम;नपुं;3;एक}	अन्य{सर्वनाम;पुं;3;एक}	कर्ता,8.1	कर्ता,8.1#करणम्,8.1#हेतुः,8.1	N1	अन्य_से	अन्य_से
6.1	सः		सः	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	विशेषणम्,7.1	विशेषणम्,8.1#विशेषणम्,7.1	N2	वह	वह
7.1	अपराधः		अपराधः	अपराध{पुं;1;एक}	अपराध{पुं;1;एक}	कर्म,8.1	-	N2	अपराध	अपराध
8.1	कृतः		कृतः	कृत्{पुं;1;बहु}/कृत्{पुं;2;बहु}/कृत्{पुं;5;एक}/कृत्{पुं;6;एक}/कृत्{पुं;8;बहु}/कृत{पुं;1;एक(कृ2;क्त;स्वादिः)}/कृत{पुं;1;एक(कृ3;क्त;तनादिः)}	कृत{पुं;1;एक(कृ2;क्त;स्वादिः)}	वाक्यकर्म,10.1	वाक्यकर्म,10.1#षष्ठीसम्बन्धः,7.1	N2	निर्मित	निर्मित
9.1	इति		इति	इति{अव्य}	इति{अव्य}	वाक्यकर्म_द्योतकः,8.1	वाक्यकर्म_द्योतकः,8.1	NA	ऐसा	ऐसा
10.1	दर्शयति		दर्शयति	दृश्1{णिजन्त;कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}	दृश्1{णिजन्त;कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}		-	KP		
11.1	.		.	-	-	-	-	FS	-	-
										
