index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	वृद्धिम्	3.1	वृद्धिम्	वृद्धि{स्त्री;2;एक}	वृद्धि{स्त्री;2;एक}	सुप्_समुच्चितः,5.1	सुप्_समुच्चितः,5.1#कर्म,8.1	N2	वृद्धि_को	वृद्धि_को
2.1	मलानाम्	1.1	मलानाम्	मल{पुं;6;बहु}	मल{पुं;6;बहु}	षष्ठीसम्बन्धः,1.1	षष्ठीसम्बन्धः,1.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,3.1	N6	मल_का	मल_का
3.1	सङ्गात्	2.1	सङ्गात्	सङ्ग{पुं;5;एक}	सङ्ग{पुं;5;एक}	हेतुः,1.1	अपादानम्,8.1#हेतुः,1.1	N5	साथ_से	साथ_से
4.1	च	6.1	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,5.1	समुच्चय_द्योतकः,5.1	NA	और	और
5.1	क्षयम्	5.1	क्षयम्	क्षय{पुं;2;एक}/क्षय{नपुं;1;एक}/क्षय{नपुं;2;एक}	क्षय{पुं;2;एक}	कर्म,8.1	कर्म,8.1	N2	क्षय_को	क्षय_को
6.1	च	8.1	च	च{अव्य}	च{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	और	और
7.1	अति-	4.1	अति-	अति-	अति-	प्रादि-तत्पुरुषः,7.2	प्रादि-तत्पुरुषः,7.2	CP	अति	अति
7.2	विसर्गतः	4.2	विसर्गतः	विसर्ग{अव्य;तसिल्}	विसर्ग{अव्य;तसिल्}	हेतुः,5.1	अपादानम्,9.1#हेतुः,5.1	NA	विसर्ग_से	विसर्ग_से
8.1	(विद्यात्)	7.1	(विद्यात्)	विद्1{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;अदादिः}/विद्3{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;तुदादिः}/विद्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;अदादिः}	विद्1{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;अदादिः}	-	-	KP		
9.1	.	8.1	.	-	-	-	-	FS	-	-
