index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	कर्मणा		कर्मणा	कर्मन्{नपुं;3;एक}	कर्मन्{नपुं;3;एक}	हेतुः,7.1	विशेषणम्,3.1#विशेषणम्,2.1#कर्ता,4.1#हेतुः,7.1#हेतुः,4.1#हेतुः,2.1	N3	कर्म	कर्म
2.1	तेन		तेन	तद्{सर्वनाम;पुं;3;एक}/तद्{सर्वनाम;नपुं;3;एक}/तन्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;तनादिः}	तद्{सर्वनाम;नपुं;3;एक}	विशेषणम्,1.1	विशेषणम्,3.1#विशेषणम्,1.1#कर्ता,4.1#करणम्,7.1#हेतुः,7.1#हेतुः,4.1	N3	उससे	उससे
3.1	महता		महता	महत्{पुं;3;एक}/महत्{नपुं;3;एक}	महत्{नपुं;3;एक}	विशेषणम्,1.1	विशेषणम्,2.1#विशेषणम्,1.1#कर्ता,4.1#करणम्,7.1#हेतुः,7.1#हेतुः,4.1#हेतुः,2.1	N3	महान्	महान्
4.1	त्रैलोक्यम्		त्रैलोक्यं	त्रैलोक्य{नपुं;1;एक}/त्रैलोक्य{नपुं;2;एक}	त्रैलोक्य{नपुं;1;एक}	कर्ता,7.1	कर्म,2.1#कर्ता,7.1	N1		
5.1	स-		स-चर-अ-चरम्	स	स	बहुव्रीहिः,5.2	बहुव्रीहिः,5.2	CP	स-	स-
5.2	चर-		--	चर	चर	द्वन्द्वः,5.3	द्वन्द्वः,5.3	CP	चर-	चर-
5.3	अ-		--	अ	अ	नञ्-तत्पुरुषः,5.4	नञ्-तत्पुरुषः,5.4	CP	अ-	अ-
5.4	चरम्		--	चर{पुं;2;एक}/चर{नपुं;1;एक}/चर{नपुं;2;एक}	चर{नपुं;1;एक}	विशेषणम्,4.1	विशेषणम्,7.1#विशेषणम्,6.4#विशेषणम्,4.1#कर्म,2.1#कर्ता,7.1	N1	चर	चर
6.1	स-		स-देव-ऋषि-गणं	स	स	बहुव्रीहिः,6.2	बहुव्रीहिः,6.2	CP	स-	स-
6.2	देव-		--	देव	देव	द्वन्द्वः,6.3	द्वन्द्वः,6.3	CP	देव-	देव-
6.3	ऋषि-		--	ऋषि	ऋषि	षष्ठी-तत्पुरुषः,6.4	षष्ठी-तत्पुरुषः,6.4	CP	ऋषि-	ऋषि-
6.4	गणम्		--	गण{पुं;2;एक}/गण{नपुं;1;एक}/गण{नपुं;2;एक}	गण{नपुं;1;एक}	विशेषणम्,4.1	विशेषणम्,7.1#विशेषणम्,5.4#विशेषणम्,4.1#कर्म,2.1#कर्ता,7.1	N1	गण	गण
7.1	तुष्टम्		तुष्टं	तुष्ट{पुं;2;एक(तुष्1;क्त;दिवादिः)}/तुष्ट{नपुं;1;एक(तुष्1;क्त;दिवादिः)}/तुष्ट{नपुं;2;एक(तुष्1;क्त;दिवादिः)}	तुष्ट{नपुं;1;एक(तुष्1;क्त;दिवादिः)}		कर्म,2.1	N1	प्रसन्न	प्रसन्न
8.1	राघवस्य		राघवस्य	राघव{पुं;6;एक}	राघव{पुं;6;एक}	षष्ठीसम्बन्धः,1.1	षष्ठीसम्बन्धः,6.4#षष्ठीसम्बन्धः,5.4#षष्ठीसम्बन्धः,1.1	N6	रघुवंशी_का	रघुवंशी_का
9.1	महा-		महा-आत्मनः	महत्	महत्	बहुव्रीहिः,9.2	बहुव्रीहिः,9.2	CP	महा-	महा-
9.2	आत्मनः		--	आत्मन्{पुं;2;बहु}/आत्मन्{पुं;5;एक}/आत्मन्{पुं;6;एक}	आत्मन्{पुं;6;एक}	विशेषणम्,8.1	विशेषणम्,8.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,6.4#षष्ठीसम्बन्धः,5.4#षष्ठीसम्बन्धः,1.1#हेतुः5,7.1#हेतुः5,4.1#हेतुः5,2.1#कर्म,2.1	N6	आत्मे	आत्मे
10.1	.		.	-	-	-	-	FS	-	-
