index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	मनः-		मनः-	मनस्{नपुं;1;एक}/मनस्{नपुं;2;एक}/मनस्{नपुं;8;एक}	मनस्{नपुं;1;एक}	षष्ठी-सम्बन्धः,1.2	षष्ठी-सम्बन्धः,1.2	N1	मन	मन
1.2	प्रसादः		प्रसादः	प्रसाद{पुं;1;एक}	प्रसाद{पुं;1;एक}	घटकः,7.1	घटकः,7.1	N1	प्रसाद	प्रसाद
2.1	सौम्यत्वम्		सौम्यत्वम्	सौम्य{त्व;नपुं;1;एक}/सौम्य{त्व;नपुं;2;एक}	सौम्य{त्व;नपुं;1;एक}	घटकः,7.1	घटकः,7.1	N1	सुन्दर	सुन्दर
3.1	मौनम्		मौनम्	मौन{नपुं;1;एक}/मौन{नपुं;2;एक}	मौन{नपुं;1;एक}	घटकः,7.1	घटकः,7.1	N1	मौन	मौन
4.1	आत्म-		आत्मविनिग्रहः	-	-	षष्ठी-तत्पुरुषः,4.2	षष्ठी-तत्पुरुषः,4.2	CP		
4.2	विनिग्रहः			आत्मविनिग्रहः{पुं;1;एक}	आत्मविनिग्रहः{पुं;1;एक}	घटकः,7.1	घटकः,7.1	N1		
5.1	भावसंशुद्धिः		भावसंशुद्धिः	-	-	घटकः,7.1	घटकः,7.1	N1		
6.1	इति		इति	इति{अव्य}	इति{अव्य}	वाक्यकर्म_द्योतकः,7.1	वाक्यकर्म_द्योतकः,7.1	NA	ऐसा	ऐसा
7.1	एतत्		एतत्	एतद्{सर्वनाम;नपुं;1;एक}/एतद्{सर्वनाम;नपुं;2;एक}	एतद्{सर्वनाम;नपुं;1;एक}	विशेषणम्,8.1	विशेषणम्,8.1#विशेषणम्,9.1#मुख्यकर्म,10.1#गौणकर्म,10.1	N1	यह	यह
8.1	तपः		तपः	तप{पुं;1;एक}/तपस्{नपुं;1;एक}/तपस्{नपुं;2;एक}/तपस्{नपुं;8;एक}	तप{पुं;1;एक}	कर्म,10.1	मुख्यकर्म,10.1#गौणकर्म,10.1#कर्म,10.1	N1	गर्मी	गर्मी
9.1	मानसम्		मानसम्	मानस{पुं;2;एक}/मानस{नपुं;1;एक}/मानस{नपुं;2;एक}	मानस{पुं;2;एक}	कर्मसमानाधिकरणम्,10.1	मुख्यकर्म,10.1#गौणकर्म,10.1#कर्म,10.1#कर्मसमानाधिकरणम्,10.1	N2	मानसिक_को	मानसिक_को
10.1	उच्यते		उच्यते	ब्रू1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;अदादिः}	ब्रू1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;अदादिः}	-	-	KP	कहा_जाता_है	कहा_जाता_है
11.1	.		.	-	-	-	-	FS	-	-
