index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	possible_relation	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	कैः	6	कैर्लिङ्गैस्त्रीन्गुणानेतानतीतो	किम्{पुं}{3;बहु}/किम्{नपुं}{3;बहु}	किम्{नपुं}{3;बहु}	विशेषणम्,2.1	विशेषणम्,2.1	N3	किन	by_which	-	-
2.1	लिङ्गैः	7	0	लिङ्ग{नपुं}{3;बहु}	लिङ्ग{नपुं}{3;बहु}	करणम्,7.1	करणम्,7.1	N3	लक्षणों_से	symptoms	-	-
3.1	त्रीन्	2	0	त्रि{पुं}{2;बहु}/त्रि{पुं}{2;बहु}	त्रि{पुं}{2;बहु}	विशेषणम्,4.1	विशेषणम्,4.1	N2	तीनों	three	-	-
4.1	गुणान्	3	0	गुण{पुं}{2;बहु}	गुण{पुं}{2;बहु}	कर्म,6.1	कर्म,6.1	N2	गुणों_से	qualities	-	-
5.1	एतान्	1	0	एतद्{पुं}{2;बहु}	एतद्{पुं}{2;बहु}	विशेषणम्,4.1	विशेषणम्,4.1	N2	इन	all_this	-	-
6.1	अतीतः	4	0	अतीत{पुं}{1;एक}	अतीत{पुं}{1;एक}	कर्ता,7.1	कर्ता,7.1	N1	अतीत	having_transcended	-	-
7.1	भवति	8	भवति	भवत्{पुं}{7;एक}/भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः}	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः}			KP	होता_है	become	-	-
8.1	प्रभो	12	प्रभो	प्रभु{पुं}{8;एक}/प्रभु{नपुं}{8;एक}	प्रभु{पुं}{8;एक}	सम्बोध्यः,14.1	सम्बोध्यः,14.1	N8	हे_प्रभो	my_Lord	-	-
9.1	किम्-	10	किमाचारः	किम्	किम्	बहुव्रीहिः,9.2	बहुव्रीहिः,9.2	CP	किस_प्रकार_के_आचरणोंवाला	what_behaviour	<किम्-आचारः>Bs6	-
9.2	आचारः	-	-	आचार{पुं}{1;एक}	आचार{पुं}{1;एक}	कर्ता,9.1.1	कर्ता,9.1.1	N1				-
9.1.1	(भवति)	11	(0)	(भवत्{पुं}{7;एक}/भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः})	(भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः})	अभिहितकर्ता,9.1;अकर्मकः.1	अभिहितकर्ता,9.1;अकर्मकः.1	KP	(होता_है)	becomes	-	-
10.1	कथम्	13	कथं	कथम्{अव्य}	कथम्{अव्य}	क्रियाविशेषणम्,14.1	क्रियाविशेषणम्,14.1	NA	कैसे	what	-	-
11.1	च	9	चैतांस्त्रीन्गुणानतिवर्तते	च{अव्य}	च{अव्य}	सम्बन्धः,15.1	सम्बन्धः,15.1	NA	और	also	-	-
12.1	एतान्	14	0	एतद्{पुं}{2;बहु}	एतद्{पुं}{2;बहु}	विशेषणम्,13.1	विशेषणम्,13.1	N2	इन	these	-	-
13.1	त्रीन्	15	0	त्रि{पुं}{2;बहु}/त्रि{पुं}{2;बहु}	त्रि{पुं}{2;बहु}	विशेषणम्,13.1	विशेषणम्,13.1	N2	तीनों	three	-	-
14.1	गुणान्	16	0	गुण{पुं}{2;बहु}	गुण{पुं}{2;बहु}	कर्म,14.1	कर्म,14.1	N2	गुणों_से	qualities	-	-
15.1	अतिवर्तते	17	0	अति_वृत्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;वृतुँ;भ्वादिः}	अति_वृत्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;अति_वृतुँ;भ्वादिः}	अभिहितकर्ता,15.1.1;सकर्मकः.1	अभिहितकर्ता,15.1.1;सकर्मकः.1	KP	अतीत_होता_है	transcend	-	-
15.1.1	(पुरुषः)	5	(0)	(पुरुष{पुं}{1;एक})	(पुरुष{पुं}{1;एक})	कर्ता,15.1	कर्ता,15.1	N1	(पुरुष)	person	-	-
