index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	यः	2	यस्त्वात्मरतिरेव	यद्{पुं;1;एक}	यद्{पुं;1;एक}	विशेषणम्,8.1	विशेषणम्,8.1;नित्यसम्बन्धः,13.1	N1	जो	he_who	-	-	नित्यसम्बन्धः,13.1
2.1	तु	1	0।0	तु{अव्य}	तु{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	परंतु	however	-	-
3.1	आत्म-	4	0।0	आत्म	आत्म	बहुव्रीहिः,3.2	बहुव्रीहिः,3.2	CP	आत्म-रति	takes_delight_in_the_Self	<आत्म-रतिः>Bs6	-
3.2	रतिः	-	-	रति{स्त्री;1;एक}/रति{पुं;1;एक}	रति{पुं;1;एक}	विधेय_विशेषणम्,8.1	विधेय_विशेषणम्,8.1	N1				-
4.1	एव	5	0।0	एव{अव्य}	एव{अव्य}	सम्बन्धः,3.2	सम्बन्धः,3.2	NA	ही	alone	-	-
5.1	स्यात्	12	स्यादात्मतृप्तश्च	अस्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;असँ;अदादिः}	अभिहित_कर्ता,8.1;अकर्मकः.1	अभिहित_कर्ता,8.1;अकर्मकः.1	KP	हो	is	-	-
6.1	आत्म-	6	0।0	आत्मन्	आत्मन्	सप्तमी-तत्पुरुषः,6.2	सप्तमी-तत्पुरुषः,6.2	CP	आत्मा_में_ही_तृप्त	gratified_with_the_Self	<आत्म-तृप्तः>T7	-
6.2	तृप्तः	-	-	तृप्त{पुं;1;एक}	तृप्त{पुं;1;एक}	समुच्चितः,3.2	समुच्चितः,3.2	N1				-
7.1	च	7	0।0	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,3.2	समुच्चय_द्योतकः,3.2	NA	और	and	-	-
8.1	मानवः	3	मानवः	मानव{पुं;1;एक}	मानव{पुं;1;एक}	कर्ता,5.1	कर्ता,5.1	N1	मनुष्य	a_man	-	-
9.1	आत्मनि	8	आत्मन्येव	आत्मन्{पुं;7;एक}	आत्मन्{पुं;7;एक}	अधिकरणम्,12.1	अधिकरणम्,12.1	N7	आत्मा_में	in_the_Self	-	-
10.1	एव	9	0।0	एव{अव्य}	एव{अव्य}	सम्बन्धः,9.1	सम्बन्धः,9.1	NA	ही	only	-	-
11.1	च	11	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,3.2	समुच्चय_द्योतकः,3.2	NA	भी	and	-	-
12.1	सन्तुष्टः	10	सन्तुष्टस्तस्य	सन्तुष्ट{पुं;1;एक}/सम्_तुष्1{कृत्_प्रत्ययः:क्त;सम्_तुषँ;दिवादिः;पुं;1;एक}	सम्_तुष्1{कृत्_प्रत्ययः:क्त;सम्_तुषँ;दिवादिः;पुं;1;एक}	समुच्चितः,3.2	समुच्चितः,3.2	N1	संतुष्ट	contented	-	-
13.1	तस्य	13	0।0	तद्{पुं;6;एक}/तद्{नपुं;6;एक}	तद्{पुं;6;एक}	षष्ठीसम्बन्धः,14.1	षष्ठीसम्बन्धः,14.1	N6	उसके_लिये	for_him	-	-
14.1	कार्यम्	14	कार्यं	कार्य{नपुं;2;एक}/कार्य{नपुं;1;एक}	कार्य{नपुं;1;एक}	कर्ता,16.1	कर्ता,16.1	N1	कोई_कर्तव्य	duty	-	-
15.1	न	15	न	न{अव्य}	न{अव्य}	प्रतिषेधः,16.1	प्रतिषेधः,16.1	NA	नहीं	no	-	-
16.1	विद्यते	16	विद्यते	विद्यता{स्त्री;1;द्वि}/विद्यता{स्त्री;2;द्वि}/विद्यता{स्त्री;8;एक}/विद्यता{स्त्री;8;द्वि}/विद्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;विदँ;अदादिः}/विद्2{कर्तरि;लट्;प्र;एक;आत्मनेपदी;विदँ;दिवादिः}/विद्2{भावे;लट्;प्र;एक;आत्मनेपदी;विदँ;दिवादिः}/विद्4{कर्मणि;लट्;प्र;एक;आत्मनेपदी;विदँ;रुधादिः}/विद्3{कर्मणि;लट्;प्र;एक;आत्मनेपदी;विदॢँ;तुदादिः}	विद्2{कर्तरि;लट्;प्र;एक;आत्मनेपदी;विदँ;दिवादिः}	अभिहित_कर्ता,14.1;अकर्मकः.1	अभिहित_कर्ता,14.1;अकर्मकः.1	KP	है	has	-	-
