index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	क्व	3.1	क्व	क्व{अव्य}	क्व{अव्य}	क्रियाविशेषणम्,9.1	क्रियाविशेषणम्,9.1	NA	कहाँ	-	-	-
2.1	सूर्य-	1.1	सूर्यप्रभवो	सूर्य	सूर्य	पञ्चमी-तत्पुरुषः,2.2	पञ्चमी-तत्पुरुषः,2.2	CP	सूर्य-मूल	-	-	-
2.2	प्रभवः	1.2	-	प्रभु{पुं;1;बहु}/प्रभव{पुं;1;एक}	प्रभव{पुं;1;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N1				-
3.1	वंशः	2.1	वंशः	वंश{पुं;1;एक}	वंश{पुं;1;एक}	समुच्चितः,8.1	समुच्चितः,8.1	N1	वंश	-	-	-
4.1	च	7.1	-	च{अव्य}	च{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	भी	-	-	-
5.1	क्व	8.1	क्व	क्व{अव्य}	क्व{अव्य}	क्रियाविशेषणम्,9.1	क्रियाविशेषणम्,9.1	NA	कहाँ	-	-	-
6.1	अल्प-	4.1	चाल्पविषया	अल्प	अल्प	बहुव्रीहिः,6.2	बहुव्रीहिः,6.2	CP	कम-विषया	-	-	-
6.2	विषया	4.2	-	विषा{स्त्री;3;एक}/विषया{स्त्री;1;एक}	विषया{स्त्री;1;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N1				-
7.1	(मम)	5.1	(मम)	अस्मद्{सर्वनाम;6;एक}	अस्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,8.1	षष्ठीसम्बन्धः,8.1	N6	मेरा	-	-	-
8.1	मतिः	6.1	मतिः	मति{स्त्री;1;एक}	मति{स्त्री;1;एक}	कर्ता,9.1	कर्ता,9.1	N1	-	-	-	-
9.1	(अस्ति)	9.1	(अस्ति)	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}	अभिहित_कर्ता,8.1	अभिहित_कर्ता,8.1	KP	है	-	-	-
