index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	अथ	1	अथ	अथ{अव्य}	अथ{अव्य}	सम्बन्धः,8.2	सम्बन्धः,8.2	NA	और	-	-	-
2.1	प्रजानाम्	2	प्रजानामधिपः	प्रजा{स्त्री;6;बहु}/प्र-ज{नपुं;6;बहु}	प्रजा{स्त्री;6;बहु}	षष्ठीसम्बन्धः,3.1	षष्ठीसम्बन्धः,3.1	N6	प्रजा_के	-	-	-
3.1	अधिपः	-	-	अधिप{पुं;1;एक}	अधिप{पुं;1;एक}	कर्ता,11.1	कर्ता,11.1	N1	अधिप_ने	-	-	-
4.1	प्रभाते	3	प्रभाते	प्रभात{नपुं;1;द्वि}/प्रभात{नपुं;2;द्वि}/प्रभात्{पुं;4;एक(भा1;शतृ_लट्;भा;अदादिः)}/प्रभात्{नपुं;4;एक(भा1;शतृ_लट्;भा;अदादिः)}/प्रभात{नपुं;7;एक}/प्रभात{पुं;7;एक(भा1;क्त;भा;अदादिः)}/प्रभात{नपुं;1;द्वि(भा1;क्त;भा;अदादिः)}/प्रभात{नपुं;2;द्वि(भा1;क्त;भा;अदादिः)}/प्रभात{नपुं;7;एक(भा1;क्त;भा;अदादिः)}/प्रभाता{स्त्री;1;द्वि(भा1;क्त;भा;अदादिः)}/प्रभाता{स्त्री;2;द्वि(भा1;क्त;भा;अदादिः)}	प्रभात{नपुं;7;एक}	कालाधिकरणम्,11.1	कालाधिकरणम्,11.1	N7	सवेरे_में	-	-	-
5.1	जाया-	4	जायाप्रतिग्राहितगन्धमाल्याम्	जाया	जाया	तृतीया-तत्पुरुषः,5.2	तृतीया-तत्पुरुषः,5.2	CP	पत्नी-प्रति-ग्राहि_से	-	-	-
5.2	प्रतिग्राहित-	-	-	प्रतिग्राहित	प्रतिग्राहित	प्रादि-समासः,5.3	प्रादि-समासः,5.3	CP				-
5.3	गन्ध-	-	-	गन्ध	गन्ध	इतरेतर-द्वन्द्वः,5.4	इतरेतर-द्वन्द्वः,5.4	CP	गन्ध-	-	-	-
5.4	माल्याम्	-	-	मालि{स्त्री;7;एक}	माल्या{स्त्री;2;एक}	विशेषणम्,9.1	विशेषणम्,9.1	N2				-
6.1	वनाय	5	वनाय	वन{नपुं;4;एक}	वन{नपुं;4;एक}	प्रयोजनम्,11.1	प्रयोजनम्,11.1	N4	वन_को	-	-	-
7.1	पीत-	6	पीतप्रतिबद्धवत्सां	पीत	पीत	कर्मधारयः,7.2	कर्मधारयः,7.2	CP	-	-		-
7.2	प्रतिबद्ध-	-	-	प्रतिबद्ध	प्रतिबद्ध	प्रादि-समासः,7.3	प्रादि-समासः,7.3	CP				-
7.3	वत्साम्	-	-	वत्सा{स्त्री;2;एक(पी1;क्त;पीङ्;दिवादिः)}	वत्सा{स्त्री;2;एक(पी1;क्त;पीङ्;दिवादिः)}	विशेषणम्,9.1	विशेषणम्,9.1	N2				-
8.1	यशः-	7	यशोधनो	यशः	यशः	षष्ठ्यर्थ-बहुव्रीहिः,8.2	षष्ठ्यर्थ-बहुव्रीहिः,8.2	CP	यशः-धन	-		-
8.2	धनः	-	-	धन{पुं;1;एक}	धन{पुं;1;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N1				-
9.1	धेनुम्	8	धेनुमृषेर्मुमोच	धेनु{स्त्री;2;एक}	धेनु{स्त्री;2;एक}	कर्म,11.1	कर्म,11.1	N2	गाय	-	-	-
10.1	ऋषेः	-	-	ऋषि{पुं;5;एक}/ऋषि{पुं;6;एक}/ऋष्1{कर्तरि;विधिलिङ्;म;एक;परस्मैपदी;ऋषीँ;तुदादिः}	ऋषि{पुं;6;एक}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	N6	ऋषि_की	-	-	-
11.1	मुमोच	-	-	मुच्2{कर्तरि;लिट्;प्र;एक;परस्मैपदी;मुचॢँ;तुदादिः}/मुच्2{कर्तरि;लिट्;उ;एक;परस्मैपदी;मुचॢँ;तुदादिः}	मुच्2{कर्तरि;लिट्;प्र;एक;परस्मैपदी;मुचॢँ;तुदादिः}	अभिहित_कर्ता,3;सकर्मक.1	अभिहित_कर्ता,3;सकर्मक.1	KP	छोडा	-	-	-
