index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	इदम्	3	इदं	इदम्{नपुं}{1;एक}/इदम्{नपुं}{2;एक}	इदम्{नपुं}{2;एक}	विशेषणम्,7.1	विशेषणम्,7.1	N2	इस	this	-	-
2.1	तु	9	तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	कि	but	-	-
3.1	ते	1	ते	तद्{पुं}{1;बहु}/तद्{स्त्री}{1;द्वि}/तद्{स्त्री}{2;द्वि}/तद्{नपुं}{1;द्वि}/तद्{नपुं}{2;द्वि}/युष्मद्{4;एक}/युष्मद्{6;एक}	युष्मद्{4;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N4	तुझको	unto_you	-	-
4.1	गुह्यतमम्	4	गुह्यतमं	गुह्यतम{पुं}{2;एक}/गुह्यतम{नपुं}{1;एक}/गुह्यतम{नपुं}{2;एक}	गुह्यतम{नपुं}{2;एक}	विशेषणम्,7.1	विशेषणम्,7.1	N2	परम_गोपनीय	the_most_confidential	-	-
5.1	प्रवक्ष्यामि	8	प्रवक्ष्याम्यनसूयवे	प्र_वह्1{कर्तरि;लृट्;उ;एक;उभयपदी;वहँ;भ्वादिः}	प्र_वच्1{कर्तरि;लृट्;उ;एक;परस्मैपदी;प्र_वचँ;अदादिः}			KP	भलीभाँति_कहूँगा	am_speaking	-	-
6.1	अन्-	2	0	अन्	न	नञ्-तत्पुरुषः,6.2	नञ्-तत्पुरुषः,6.2	CP	दोष-दृष्टिरहित_भक्त_के_लिये	to_the_nonenvious	<न-असूयवे>Tn	-
6.2	असूयवे	-	-	{अव्य}	असूयु{पुं}{4;एक}	सम्प्रदानम्,5.1	सम्प्रदानम्,5.1	N4				-
7.1	ज्ञानम्	5	ज्ञानं	ज्ञान{नपुं}{1;एक}/ज्ञान{नपुं}{2;एक}	ज्ञान{नपुं}{2;एक}	कर्म,5.1	कर्म,5.1	N2	ज्ञान_को	knowledge	-	-
8.1	विज्ञान-	6	विज्ञानसहितं	विज्ञान	विज्ञान	तृतीया-तत्पुरुषः,8.2	तृतीया-तत्पुरुषः,8.2	CP	विज्ञानसहित	with_realized_knowledge	<<ज्ञान-विज्ञान>Di-सहितं>T3	-
8.2	सहितम्	-	-	सहित{पुं}{2;एक}	सहित{नपुं}{2;एक}	क्रियाविशेषणम्,5.1	क्रियाविशेषणम्,5.1	N2				-
9.1	यत्	10	यञ्ज्ञात्वा	यत्{अव्य}/यद्{नपुं}{1;एक}/यद्{नपुं}{2;एक}/यत्{अव्य}	यद्{नपुं}{2;एक}	कर्म,11.1	कर्म,11.1	N2	जिसको	which	-	-
10.1	ज्ञात्वा	11	0	ज्ञा1{कृत्_प्रत्ययः:क्त्वा;ज्ञा;भ्वादिः}/ज्ञा2{कृत्_प्रत्ययः:क्त्वा;ज्ञा;क्र्यादिः}	ज्ञा2{कृत्_प्रत्ययः:क्त्वा;ज्ञा;क्र्यादिः}	पूर्वकालः,11.1	पूर्वकालः,11.1	NA	जानकर	knowing	-	-
11.1	मोक्ष्यसे	14	मोक्ष्यसेऽशुभात्	मुच्1{कर्तरि;लृट्;म;एक;आत्मनेपदी;मुचॢँ;तुदादिः}/मुच्1{कर्मणि;लृट्;म;एक;आत्मनेपदी;मुचॢँ;तुदादिः}/मुह्1{भावे;लृट्;म;एक;आत्मनेपदी;मुहँ;दिवादिः}	मुच्1{कर्तरि;लृट्;म;एक;आत्मनेपदी;मुचॢँ;तुदादिः}			KP	मुक्त_हो_जायगा	be_released	-	-
12.1	अ-	13	0	अ	अ	नञ्-तत्पुरुषः,12.2	नञ्-तत्पुरुषः,12.2	CP	दुःखरूप_संसार_से	from_this_miserable_material_existence	<न-शुभात्>Tn	-
12.2	शुभात्	-	-	शुभ{पुं}{5;एक}/शुभ{नपुं}{5;एक}	शुभ{पुं}{5;एक}	अपादानम्,11.1	अपादानम्,11.1	N5				-
13.1	(त्वम्)	12	(0)	(युष्मद्{1;एक})	(युष्मद्{1;एक})	कर्ता,11.1	कर्ता,11.1	N1	(तू)	you	-	-
14.1	(अहम्)	7	(0)	(अस्मद्{1;एक})	(अस्मद्{1;एक})	कर्ता,5.1	कर्ता,5.1	N1	(मैं)	I	-	-
